Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
A788AH,12/7/2024,BYD T018 SWB,"18,628.00","18,554.00",74,"0,824","61,01","158,63","26,23",100,0.0,0.0,0.0,0,0.0,0
A788AH,11/7/2024,BYD T018 SWB,"18,554.00","18,478.00",76,"0,824","62,65","162,89","26,94",100,0.0,0.0,0.0,0,0.0,0
A788AH,10/7/2024,BYD T018 SWB,"18,478.00","18,404.00",74,"0,824","61,01","158,63","26,23",100,0.0,0.0,0.0,0,0.0,0
A788AH,6/7/2024,BYD T018 SWB,"18,368.00","18,331.00",37,"0,824","30,5","79,3","13,12",100,0.0,0.0,1.0,0,0.0,0
A788AH,5/7/2024,BYD T018 SWB,"18,331.00","18,258.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,4/7/2024,BYD T018 SWB,"18,258.00","18,185.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,3/7/2024,BYD T018 SWB,"18,185.00","18,108.00",77,"0,824","63,48","165,05","27,3",100,0.0,0.0,0.0,0,0.0,0
A788AH,2/7/2024,BYD T018 SWB,"18,108.00","18,035.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,1.0,0
A788AH,29/6/2024,BYD T018 SWB,"17,999.00","17,960.00",39,"0,824","32,15","83,59","13,82",9.959.999.999.403.950,0.0,0.0,2.0,0.4000000059604645,0.0,0
A788AH,28/6/2024,BYD T018 SWB,"17,960.00","17,886.00",74,"0,824","61,01","158,63","26,23",100,0.0,0.0,0.0,0,0.0,0
A788AH,27/6/2024,BYD T018 SWB,"17,886.00","17,751.00",135,"0,824","111,29","289,35","47,85",100,0.0,0.0,0.0,0,0.0,0
A788AH,25/6/2024,BYD T018 SWB,"17,715.00","17,678.00",37,"0,824","30,5","79,3","13,12",100,0.0,0.0,0.0,0,0.0,0
A788AH,22/6/2024,BYD T018 SWB,"17,642.00","17,606.00",36,"0,824","29,68","77,17","12,76",100,0.0,0.0,1.0,0,0.0,0
A788AH,21/6/2024,BYD T018 SWB,"17,606.00","17,533.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,20/6/2024,BYD T018 SWB,"17,533.00","17,460.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
