Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
RE7708A,2024-06-03,BYD T018 SWB,20827,20780.0,47.0,1.28,60.27,94.02,25.92,992.999.999.821.186,0.0,0,2.0,0.4000000059604645,2.0,0.30000001192092896
RE7711A,2024-06-03,BYD T018 SWB,19389,19290.0,99.0,1.21,120.16,187.45,51.67,9.969.999.998.807.900,0.0,0,1.0,0,2.0,0.30000001192092896
RE7713A,2024-06-03,BYD T018 SWB,19442,19357.0,85.0,1.17,99.27,154.86,42.69,9.759.999.990.463.250,0.0,0,0.0,0,9.0,24.000.000.953.674.300
RE7716A,2024-06-03,BYD T018 SWB,25253,25190.0,63.0,1.19,75.02,117.03,32.26,9.819.999.992.847.440,0.0,0,1.0,0,7.0,18.000.000.715.255.700
RD1185A,2024-06-03,VW eDelivery,4903,,,0.92,,,,,,,,,,
RN4491A,2024-06-03,VW eDelivery,6936,6900.0,36.0,0.58,20.88,32.57,8.98,100,1.0,0,0.0,0,0.0,0
RE7115A,2024-06-02,BYD T018 SWB,20461,20461.0,0.0,1.15,0.0,0.0,0.0,,,,,,,
RE7700A,2024-06-02,BYD T018 SWB,21651,21651.0,0.0,1.17,0.0,0.0,0.0,,,,,,,
RE7701A,2024-06-02,BYD T018 SWB,23621,23621.0,0.0,1.12,0.0,0.0,0.0,,,,,,,
RE7703A,2024-06-02,BYD T018 SWB,22417,22417.0,0.0,1.17,0.0,0.0,0.0,,,,,,,
RE7708A,2024-06-02,BYD T018 SWB,20780,20780.0,0.0,1.28,0.0,0.0,0.0,,,,,,,
RE7711A,2024-06-02,BYD T018 SWB,19290,19290.0,0.0,1.21,0.0,0.0,0.0,,,,,,,
RE7713A,2024-06-02,BYD T018 SWB,19357,19357.0,0.0,1.17,0.0,0.0,0.0,,,,,,,
RE7716A,2024-06-02,BYD T018 SWB,25190,25190.0,0.0,1.19,0.0,0.0,0.0,,,,,,,
RN4491A,2024-06-02,VW eDelivery,6900,6900.0,0.0,0.58,0.0,0.0,0.0,,,,,,,
RE7115A,2024-06-01,BYD T018 SWB,20461,20460.0,1.0,1.15,1.15,1.79,0.49,100,0.0,0,0.0,0,0.0,0
RE7700A,2024-06-01,BYD T018 SWB,21651,21651.0,0.0,1.17,0.0,0.0,0.0,100,0.0,0,0.0,0,0.0,0
RE7701A,2024-06-01,BYD T018 SWB,23621,,,1.12,,,,,,,,,,
RE7703A,2024-06-01,BYD T018 SWB,22417,22416.0,1.0,1.17,1.17,1.83,0.5,100,0.0,0,0.0,0,0.0,0
RE7706A,2024-06-01,BYD T018 SWB,27854,,,1.15,,,,,,,,,,
RE7708A,2024-06-01,BYD T018 SWB,20780,20779.0,1.0,1.28,1.28,2.0,0.55,100,0.0,0,0.0,0,0.0,0
RE7710A,2024-06-01,BYD T018 SWB,21195,,,1.21,,,,100,0.0,0,0.0,0,0.0,0
