dia;Operador;Modelo;Placa;Odometro Final;Odometro Inicial;Distancia Diaria;energy;kWh/km
09/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A009;267802;267504;298;369,1;1,24
09/09/2024;LALA;BYD T45;41N315;1150;1098;52;31,92;0,61
09/09/2024;GRUPO MODELO;BYD T018 SWB;RE7713A;25759;25724;35;40,88;1,17
09/09/2024;SIGMA ALIMENTOS;JAC E10X;28J438;62421;62328;93;14,6;0,16
09/09/2024;LALA;BYD T45;31J867;16159;16124;35;28,41;0,81
10/09/2024;HEINEKEN;BYD T018 SWB;19192;13397;13355;42;31,74;0,76
10/09/2024;LALA;BYD T45;PX1147B;1638;1616;22;18,3;0,83
10/09/2024;LALA;BYD T45;EU2281C;2631;2527;104;54,57;0,52
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7701A;29489;29449;40;44,88;1,12
10/09/2024;LIVERPOOL;JAC E Sunray;27J202;14030;14029;1;0,41;0,41
10/09/2024;MERCADO LIBRE;BYD T45;38J602;5213;5070;143;69,37;0,49
10/09/2024;LALA;BYD T45;LG23179;3067;3028;39;28,57;0,73
10/09/2024;LALA;JAC E10X;YVK184B;3187;NULL;NULL;NULL;NULL
10/09/2024;LALA;JAC E10X;38N095;2316;2254;62;6,42;0,1
10/09/2024;ANDESMAR;Nissan Leaf;AF396WR;23278;23240;38;NULL;NULL
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7712A;13311;13268;43;52,19;1,21
10/09/2024;LALA;BYD T45;FB0486B;15593;15565;28;19,4;0,69
10/09/2024;LALA;JAC E10X;33N826;2410;2339;71;6,91;0,1
10/09/2024;LALA;JAC E10X;38N096;2515;2488;27;4,07;0,15
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A013;278271;278009;262;339,26;1,29
10/09/2024;LALA;JAC E10X;UNE525J;927;NULL;NULL;NULL;NULL
10/09/2024;LALA;BYD T45;LG23192;1496;1462;34;24,57;0,72
10/09/2024;LALA;BYD Mini Dolphin;47J468;2540;NULL;NULL;NULL;NULL
10/09/2024;LALA;BYD T45;31J867;16193;16159;34;27,6;0,81
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7703A;25549;25518;31;36,2;1,17
10/09/2024;LALA;BYD T45;LG23191;1565;1546;19;14,11;0,74
10/09/2024;LALA;BYD T45;LG23183;1365;1329;36;27,8;0,77
10/09/2024;LALA;JAC E10X;38N097;1412;1314;98;12,31;0,13
10/09/2024;LALA;BYD T45;LG26417;14513;14513;0;0;NULL
10/09/2024;BOSQUES DE SANTA FE;JAC EJ7;80F209;170492;170266;226;39,63;0,18
10/09/2024;LALA;JAC E10X;58J046;2635;2608;27;4,07;0,15
10/09/2024;LALA;BYD T45;31J868;20232;20191;41;31,25;0,76
10/09/2024;LALA;BYD T45;41N315;1221;1150;71;43,58;0,61
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7700A;27266;27223;43;50,22;1,17
10/09/2024;LALA;JAC E10X;57J869;3883;3831;52;6,86;0,13
10/09/2024;LIVERPOOL;Renault Kangoo;33J570;23160;23109;51;7,57;0,15
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A010;270238;269962;276;341,85;1,24
10/09/2024;LALA;BYD T45;LG23180;2671;2640;31;21,48;0,69
10/09/2024;LALA;BYD T45;16N963;19080;19031;49;30,08;0,61
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7711A;25197;25147;50;60,69;1,21
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7706A;33624;33541;83;95,04;1,15
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7710A;24506;24468;38;46,12;1,21
10/09/2024;GRUPO MODELO;VW eDelivery;RN4491A;8668;8619;49;28,42;0,58
10/09/2024;LALA;JAC E10X;57J995;1925;1912;13;2,16;0,17
10/09/2024;LALA;BYD T45;RH1593A;17611;17571;40;30,89;0,77
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;274886;274610;276;357,39;1,29
10/09/2024;LALA;BYD T45;SY3462D;23061;23007;54;28,33;0,52
10/09/2024;LALA;BYD T45;EU2283C;1892;1858;34;20,2;0,59
10/09/2024;LALA;JAC E10X;58J360;11955;11830;125;14,52;0,12
10/09/2024;MAXUS;AT EV 2.5;LSF1L2301PD200772;10754;10656;98;NULL;NULL
10/09/2024;LALA;BYD T45;EU2280C;1014;981;33;23,2;0,7
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7708A;25739;25702;37;47,45;1,28
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A011;269198;269194;4;5,18;1,3
10/09/2024;GRUPO MODELO;VW eDelivery;RN4492A;5172;5122;50;28,5;0,57
10/09/2024;LALA;JAC E10X;58J045;4502;4416;86;10,26;0,12
10/09/2024;LALA;BYD T45;PX1148B;2185;2151;34;26,59;0,78
10/09/2024;LALA;BYD T45;LG23176;2724;2685;39;22,39;0,57
10/09/2024;UNILEVER;Fotón TM3;LG25459;3513;3479;34;11,6;0,34
10/09/2024;LALA;JAC E10X;58J364;2803;2747;56;7,56;0,14
10/09/2024;LALA;BYD T45;RN1592A;20358;20321;37;31,5;0,85
