Placa;dia;Modelo;Odómetro Final;Odómetro Inicial;Distancia Diaria;Consumo Promedio [kWh/km];Energía [kWh];Costo Aproximado [$];kgCO2;Scoring;Nro. de Veloc.;Penalización Veloc.;Nro. de Acel.;Penalización Acel.;Nro. de Fren.;Penalización Fren.
RN4491A;28/8/2024;VW eDelivery;8325;8306;19;0,58;11,02;17,19;4,74;100;1;0;0;0;0;0
RN4492A;28/8/2024;VW eDelivery;4872;4872;0;0,57;0;0;0;100;0;0;0;0;0;0
RE7115A;27/8/2024;BYD T018 SWB;21970;21933;37;1,15;42,37;66,1;18,22;100;0;0;0;0;0;0
RE7700A;27/8/2024;BYD T018 SWB;26644;26611;33;1,17;38,54;60,12;16,57;9.939.999.997.615.810;0;0;1;0;3;0.6000000238418579
RE7701A;27/8/2024;BYD T018 SWB;28909;28826;83;1,12;93,13;145,28;40,05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;27/8/2024;BYD T018 SWB;7390;7371;19;1,12;21,32;33,26;9,17;100;0;0;1;0;0;0
RE7703A;27/8/2024;BYD T018 SWB;24981;24925;56;1,17;65,4;102,02;28,12;9.909.999.996.423.720;0;0;0;0;4;0.9000000357627869
RE7706A;27/8/2024;BYD T018 SWB;32808;32763;45;1,15;51,53;80,39;22,16;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;27/8/2024;BYD T018 SWB;25077;24998;79;1,28;101,31;158,04;43,56;100;0;0;0;0;0;0
RE7711A;27/8/2024;BYD T018 SWB;24652;24580;72;1,21;87,39;136,33;37,58;9.689.999.988.675.110;0;0;2;0.4000000059604645;10;27.000.001.072.883.600
RE7712A;27/8/2024;BYD T018 SWB;12806;12764;42;1,21;50,98;79,53;21,92;100;0;0;0;0;1;0
RE7713A;27/8/2024;BYD T018 SWB;25119;25054;65;1,17;75,91;118,42;32,64;9.969.999.998.807.900;0;0;1;0;2;0.30000001192092896
RE7716A;27/8/2024;BYD T018 SWB;28747;28702;45;1,19;53,59;83,6;23,04;9.829.999.995.231.620;0;0;3;0.800000011920929;4;0.9000000357627869
RN4492A;27/8/2024;VW eDelivery;4872;4846;26;0,57;14,82;23,12;6,37;100;0;0;0;0;0;0
RE7115A;26/8/2024;BYD T018 SWB;21933;21878;55;1,15;62,98;98,25;27,08;9.959.999.999.403.950;0;0;2;0.4000000059604645;0;0
RE7700A;26/8/2024;BYD T018 SWB;26611;26514;97;1,17;113,29;176,73;48,71;9.469.999.986.886.970;0;0;9;3.200.000.047.683.710;8;21.000.000.834.465.000
RE7701A;26/8/2024;BYD T018 SWB;28826;28752;74;1,12;83,04;129,54;35,71;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;26/8/2024;BYD T018 SWB;7371;7342;29;1,12;32,54;50,76;13,99;9.939.999.997.615.810;0;0;0;0;3;0.6000000238418579
RE7703A;26/8/2024;BYD T018 SWB;24925;24868;57;1,17;66,57;103,85;28,63;100;0;0;0;0;0;0
RE7706A;26/8/2024;BYD T018 SWB;32763;32735;28;1,15;32,06;50,01;13,79;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;26/8/2024;BYD T018 SWB;24998;24962;36;1,28;46,17;72,03;19,85;100;0;0;1;0;0;0
RE7711A;26/8/2024;BYD T018 SWB;24580;24526;54;1,21;65,54;102,24;28,18;100;0;0;1;0;0;0
RE7712A;26/8/2024;BYD T018 SWB;12764;12738;26;1,21;31,56;49,23;13,57;100;0;0;1;0;0;0
RE7713A;26/8/2024;BYD T018 SWB;25054;24953;101;1,17;117,96;184,02;50,72;9.759.999.990.463.250;0;0;0;0;9;24.000.000.953.674.300
RE7716A;26/8/2024;BYD T018 SWB;28702;28612;90;1,19;107,17;167,19;46,08;9.939.999.997.615.810;0;0;1;0;3;0.6000000238418579
RN4491A;26/8/2024;VW eDelivery;8306;8262;44;0,58;25,52;39,81;10,97;9.919.999.998.807.900;5;0.800000011920929;0;0;0;0
RN4492A;26/8/2024;VW eDelivery;4846;4782;64;0,57;36,48;56,91;15,69;100;0;0;0;0;0;0
RE7115A;25/8/2024;BYD T018 SWB;21878;21878;0;1,15;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7700A;25/8/2024;BYD T018 SWB;26514;26514;0;1,17;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;25/8/2024;BYD T018 SWB;7342;7342;0;1,12;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7703A;25/8/2024;BYD T018 SWB;24868;24814;54;1,17;63,07;98,39;27,12;9.859.999.996.423.720;0;0;3;0.800000011920929;3;0.6000000238418579
RE7706A;25/8/2024;BYD T018 SWB;32735;32735;0;1,15;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;25/8/2024;BYD T018 SWB;24962;24962;0;1,28;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7711A;25/8/2024;BYD T018 SWB;24526;24526;0;1,21;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7712A;25/8/2024;BYD T018 SWB;12738;12738;0;1,21;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7713A;25/8/2024;BYD T018 SWB;24953;24916;37;1,17;43,21;67,41;18,58;9.869.999.995.827.670;0;0;2;0.4000000059604645;4;0.9000000357627869
RE7716A;25/8/2024;BYD T018 SWB;28612;28612;0;1,19;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RN4491A;25/8/2024;VW eDelivery;8262;8262;0;0,58;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7115A;24/8/2024;BYD T018 SWB;21878;21842;36;1,15;41,22;64,3;17,72;9.879.999.995.231.620;0;0;1;0;5;12.000.000.476.837.100
RE7700A;24/8/2024;BYD T018 SWB;26514;26461;53;1,17;61,9;96,56;26,62;9.919.999.998.807.900;0;0;3;0.800000011920929;1;0
RE7701A;24/8/2024;BYD T018 SWB;28752;28656;96;1,12;107,72;168,04;46,32;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;24/8/2024;BYD T018 SWB;7342;7300;42;1,12;47,13;73,52;20,27;100;0;0;0;0;1;0
RE7703A;24/8/2024;BYD T018 SWB;24814;24734;80;1,17;93,43;145,75;40,17;100;0;0;0;0;1;0
RE7706A;24/8/2024;BYD T018 SWB;32735;32662;73;1,15;83,59;130,4;35,94;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;24/8/2024;BYD T018 SWB;24962;24900;62;1,28;79,51;124,04;34,19;9.699.999.988.079.070;0;0;0;0;11;30.000.001.192.092.800
RE7711A;24/8/2024;BYD T018 SWB;24526;24459;67;1,21;81,32;126,86;34,97;9.969.999.998.807.900;0;0;0;0;2;0.30000001192092896
RE7712A;24/8/2024;BYD T018 SWB;12738;12675;63;1,21;76,46;119,28;32,88;100;0;0;0;0;0;0
RE7713A;24/8/2024;BYD T018 SWB;24916;24877;39;1,17;45,55;71,06;19,59;9.909.999.996.423.720;0;0;0;0;4;0.9000000357627869
RE7716A;24/8/2024;BYD T018 SWB;28612;28587;25;1,19;29,77;46,44;12,8;100;0;0;1;0;1;0
RN4491A;24/8/2024;VW eDelivery;8262;8217;45;0,58;26,1;40,72;11,22;100;0;0;0;0;0;0
RN4492A;24/8/2024;VW eDelivery;4782;4728;54;0,57;30,78;48,02;13,24;9.959.999.999.403.950;3;0.4000000059604645;0;0;0;0
RE7115A;23/8/2024;BYD T018 SWB;21842;21799;43;1,15;49,24;76,81;21,17;9.969.999.998.807.900;0;0;1;0;2;0.30000001192092896
RE7700A;23/8/2024;BYD T018 SWB;26461;26412;49;1,17;57,23;89,28;24,61;100;0;0;1;0;1;0
RE7701A;23/8/2024;BYD T018 SWB;28656;28598;58;1,12;65,08;101,52;27,98;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;23/8/2024;BYD T018 SWB;7300;7220;80;1,12;89,77;140,04;38,6;9.879.999.995.231.620;0;0;0;0;5;12.000.000.476.837.100
RE7703A;23/8/2024;BYD T018 SWB;24734;24709;25;1,17;29,2;45,55;12,56;100;0;0;0;0;0;0
RE7704A;23/8/2024;BYD T018 SWB;14526;14526;0;1,35;0;0;0;100;0;0;0;0;0;0
RE7706A;23/8/2024;BYD T018 SWB;32662;32577;85;1,15;97,33;151,83;41,85;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;23/8/2024;BYD T018 SWB;24900;24838;62;1,28;79,51;124,04;34,19;992.999.999.821.186;0;0;2;0.4000000059604645;2;0.30000001192092896
RE7711A;23/8/2024;BYD T018 SWB;24459;24384;75;1,21;91,03;142,01;39,14;9.839.999.994.635.580;0;0;2;0.4000000059604645;5;12.000.000.476.837.100
RE7712A;23/8/2024;BYD T018 SWB;12675;12611;64;1,21;77,68;121,18;33,4;100;0;0;1;0;0;0
RE7713A;23/8/2024;BYD T018 SWB;24877;24829;48;1,17;56,06;87,45;24,11;9.909.999.996.423.720;0;0;0;0;4;0.9000000357627869
RE7716A;23/8/2024;BYD T018 SWB;28587;28532;55;1,19;65,49;102,16;28,16;9.959.999.999.403.950;0;0;2;0.4000000059604645;0;0
RN4491A;23/8/2024;VW eDelivery;8217;8216;1;0,58;0,58;0,9;0,25;100;0;0;0;0;0;0
RN4492A;23/8/2024;VW eDelivery;4728;4717;11;0,57;6,27;9,78;2,7;100;0;0;0;0;0;0
RE7115A;22/8/2024;BYD T018 SWB;21799;21723;76;1,15;87,02;135,75;37,42;9.679.999.989.271.160;0;0;3;0.800000011920929;9;24.000.000.953.674.300
RE7700A;22/8/2024;BYD T018 SWB;26412;26367;45;1,17;52,56;81,99;22,6;100;0;0;0;0;1;0
RE7701A;22/8/2024;BYD T018 SWB;28598;28557;41;1,12;46,01;71,78;19,78;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;22/8/2024;BYD T018 SWB;7220;7169;51;1,12;57,23;89,28;24,61;9.969.999.998.807.900;0;0;1;0;2;0.30000001192092896
RE7703A;22/8/2024;BYD T018 SWB;24709;24651;58;1,17;67,74;105,67;29,13;100;0;0;1;0;1;0
RE7704A;22/8/2024;BYD T018 SWB;14526;14526;0;1,35;0;0;0;100;0;0;0;0;0;0
RE7706A;22/8/2024;BYD T018 SWB;32577;32534;43;1,15;49,24;76,81;21,17;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;22/8/2024;BYD T018 SWB;24838;24797;41;1,28;52,58;82,02;22,61;100;0;0;0;0;0;0
RE7711A;22/8/2024;BYD T018 SWB;24384;24318;66;1,21;80,1;124,96;34,44;9.629.999.986.290.930;0;0;2;0.4000000059604645;12;33.000.001.311.302.100
RE7712A;22/8/2024;BYD T018 SWB;12611;12565;46;1,21;55,83;87,09;24,01;100;0;0;0;0;0;0
RE7713A;22/8/2024;BYD T018 SWB;24829;24773;56;1,17;65,4;102,02;28,12;9.939.999.997.615.810;0;0;0;0;3;0.6000000238418579
RE7716A;22/8/2024;BYD T018 SWB;28532;28474;58;1,19;69,07;107,75;29,7;9.969.999.998.807.900;0;0;0;0;2;0.30000001192092896
RN4491A;22/8/2024;VW eDelivery;8216;8206;10;0,58;5,8;9,05;2,49;100;0;0;0;0;0;0
RE7115A;21/8/2024;BYD T018 SWB;21723;21664;59;1,15;67,56;105,39;29,05;9.959.999.999.403.950;0;0;2;0.4000000059604645;1;0
RE7700A;21/8/2024;BYD T018 SWB;26367;26329;38;1,17;44,38;69,23;19,08;9.809.999.993.443.480;0;0;2;0.4000000059604645;6;15.000.000.596.046.400
RE7701A;21/8/2024;BYD T018 SWB;28557;28516;41;1,12;46,01;71,78;19,78;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;21/8/2024;BYD T018 SWB;7169;7139;30;1,12;33,66;52,51;14,47;100;0;0;0;0;1;0
RE7703A;21/8/2024;BYD T018 SWB;24651;24630;21;1,17;24,53;38,27;10,55;100;0;0;0;0;0;0
RE7704A;21/8/2024;BYD T018 SWB;14526;14473;53;1,35;71,61;111,71;30,79;9.969.999.998.807.900;0;0;0;0;2;0.30000001192092896
RE7706A;21/8/2024;BYD T018 SWB;32534;32504;30;1,15;34,35;53,59;14,77;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;21/8/2024;BYD T018 SWB;24797;24724;73;1,28;93,62;146,05;40,26;100;0;0;1;0;1;0
RE7711A;21/8/2024;BYD T018 SWB;24318;24279;39;1,21;47,33;73,83;20,35;100;0;0;1;0;1;0
RE7712A;21/8/2024;BYD T018 SWB;12565;12528;37;1,21;44,91;70,06;19,31;9.959.999.999.403.950;0;0;2;0.4000000059604645;1;0
RE7713A;21/8/2024;BYD T018 SWB;24773;24654;119;1,17;138,98;216,81;59,76;9.969.999.998.807.900;0;0;0;0;2;0.30000001192092896
RE7716A;21/8/2024;BYD T018 SWB;28474;28437;37;1,19;44,06;68,73;18,95;100;0;0;0;0;0;0
RE7115A;20/8/2024;BYD T018 SWB;21664;21638;26;1,15;29,77;46,44;12,8;9.919.999.998.807.900;0;0;3;0.800000011920929;0;0
RE7700A;20/8/2024;BYD T018 SWB;26329;26265;64;1,17;74,75;116,61;32,14;978.999.999.165.535;0;0;0;0;8;21.000.000.834.465.000
RE7701A;20/8/2024;BYD T018 SWB;28516;28468;48;1,12;53,86;84,02;23,16;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;20/8/2024;BYD T018 SWB;7139;7108;31;1,12;34,79;54,27;14,96;9.939.999.997.615.810;0;0;0;0;3;0.6000000238418579
RE7703A;20/8/2024;BYD T018 SWB;24630;24596;34;1,17;39,71;61,95;17,08;100;0;0;1;0;1;0
RE7704A;20/8/2024;BYD T018 SWB;14473;14473;0;1,35;0;0;0;100;0;0;0;0;0;0
RE7706A;20/8/2024;BYD T018 SWB;32504;32436;68;1,15;77,86;121,46;33,48;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;20/8/2024;BYD T018 SWB;24724;24658;66;1,28;84,64;132,04;36,4;9.969.999.998.807.900;0;0;1;0;2;0.30000001192092896
RE7711A;20/8/2024;BYD T018 SWB;24279;24188;91;1,21;110,45;172,3;47,49;9.799.999.994.039.530;0;0;3;0.800000011920929;5;12.000.000.476.837.100
RE7712A;20/8/2024;BYD T018 SWB;12528;12453;75;1,21;91,03;142,01;39,14;100;0;0;0;0;0;0
RE7713A;20/8/2024;BYD T018 SWB;24654;24598;56;1,17;65,4;102,02;28,12;9.849.999.994.039.530;0;0;0;0;6;15.000.000.596.046.400
RE7716A;20/8/2024;BYD T018 SWB;28437;28386;51;1,19;60,73;94,74;26,11;100;0;0;1;0;0;0
RE7115A;19/8/2024;BYD T018 SWB;21638;21570;68;1,15;77,86;121,46;33,48;9.789.999.994.635.580;0;0;4;12.000.000.178.813.900;4;0.9000000357627869
RE7701A;19/8/2024;BYD T018 SWB;28468;28437;31;1,12;34,79;54,27;14,96;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;19/8/2024;BYD T018 SWB;7108;7052;56;1,12;62,84;98,03;27,02;100;0;0;0;0;0;0
RE7703A;19/8/2024;BYD T018 SWB;24596;24558;38;1,17;44,38;69,23;19,08;9.969.999.998.807.900;0;0;1;0;2;0.30000001192092896
RE7706A;19/8/2024;BYD T018 SWB;32436;32401;35;1,15;40,08;62,52;17,23;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;19/8/2024;BYD T018 SWB;24658;24615;43;1,28;55,14;86,02;23,71;100;0;0;0;0;1;0
RE7711A;19/8/2024;BYD T018 SWB;24188;24112;76;1,21;92,24;143,89;39,66;971.999.998.986.721;0;0;2;0.4000000059604645;9;24.000.000.953.674.300
RE7712A;19/8/2024;BYD T018 SWB;12453;12453;0;1,21;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7713A;19/8/2024;BYD T018 SWB;24598;24540;58;1,17;67,74;105,67;29,13;9.599.999.985.098.830;0;0;2;0.4000000059604645;13;36.000.001.430.511.400
RE7716A;19/8/2024;BYD T018 SWB;28386;28347;39;1,19;46,44;72,45;19,97;100;0;0;0;0;1;0
RN4491A;19/8/2024;VW eDelivery;8206;8154;52;0,58;30,16;47,05;12,97;9.979.999.999.701.970;2;0.20000000298023224;0;0;0;0
RN4492A;19/8/2024;VW eDelivery;4717;4717;0;0,57;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7115A;18/8/2024;BYD T018 SWB;21570;21570;0;1,15;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;18/8/2024;BYD T018 SWB;7052;7052;0;1,12;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7703A;18/8/2024;BYD T018 SWB;24558;24558;0;1,17;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7706A;18/8/2024;BYD T018 SWB;32401;32401;0;1,15;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;18/8/2024;BYD T018 SWB;24615;24615;0;1,28;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7711A;18/8/2024;BYD T018 SWB;24112;24112;0;1,21;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7712A;18/8/2024;BYD T018 SWB;12453;12453;0;1,21;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7713A;18/8/2024;BYD T018 SWB;24540;24540;0;1,17;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7716A;18/8/2024;BYD T018 SWB;28347;28347;0;1,19;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RD1185A;18/8/2024;VW eDelivery;6151;6151;0;0,92;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7115A;17/8/2024;BYD T018 SWB;21570;21529;41;1,15;46,95;73,24;20,19;9.939.999.997.615.810;0;0;0;0;3;0.6000000238418579
RE7700A;17/8/2024;BYD T018 SWB;26265;26265;0;1,17;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7701A;17/8/2024;BYD T018 SWB;28437;28383;54;1,12;60,59;94,52;26,05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;17/8/2024;BYD T018 SWB;7052;7010;42;1,12;47,13;73,52;20,27;9.939.999.997.615.810;0;0;1;0;3;0.6000000238418579
RE7703A;17/8/2024;BYD T018 SWB;24558;24488;70;1,17;81,75;127,53;35,15;100;0;0;1;0;1;0
RE7706A;17/8/2024;BYD T018 SWB;32401;32260;141;1,15;161,45;251,86;69,42;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;17/8/2024;BYD T018 SWB;24615;24524;91;1,28;116,7;182,05;50,18;9.939.999.997.615.810;0;0;1;0;3;0.6000000238418579
RE7711A;17/8/2024;BYD T018 SWB;24112;24024;88;1,21;106,81;166,62;45,93;9.959.999.999.403.950;0;0;2;0.4000000059604645;0;0
RE7712A;17/8/2024;BYD T018 SWB;12453;12396;57;1,21;69,18;107,92;29,75;100;0;0;1;0;1;0
RE7713A;17/8/2024;BYD T018 SWB;24540;24490;50;1,17;58,4;91,1;25,11;9.939.999.997.615.810;0;0;0;0;3;0.6000000238418579
RE7716A;17/8/2024;BYD T018 SWB;28347;28314;33;1,19;39,3;61,31;16,9;100;0;0;0;0;1;0
RD1185A;17/8/2024;VW eDelivery;6151;6150;1;0,92;0,92;1,44;0,4;100;0;0;0;0;0;0
RN4491A;17/8/2024;VW eDelivery;8154;8154;0;0,58;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RN4492A;17/8/2024;VW eDelivery;4717;4683;34;0,57;19,38;30,23;8,33;100;0;0;0;0;0;0
