Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
19192,20/6/2024,BYD T018 SWB,"10,654.00","10,600.00",54.0,"0,756","40,81","130,59","17,55",9.719.999.992.847.440,0.0,0.0,5.0,1.600.000.023.841.850,5.0,12.000.000.476.837.100
19192,19/6/2024,BYD T018 SWB,"10,600.00","10,562.00",38.0,"0,756","28,72","91,9","12,35",9.889.999.997.615.810,0.0,0.0,3.0,0.800000011920929,2.0,0.30000001192092896
19192,18/6/2024,BYD T018 SWB,"10,562.00","10,519.00",43.0,"0,756","32,5",104,"13,98",992.999.999.821.186,0.0,0.0,2.0,0.4000000059604645,2.0,0.30000001192092896
19192,17/6/2024,BYD T018 SWB,"10,519.00","10,492.00",27.0,"0,756","20,4","65,28","8,77",9.939.999.997.615.810,0.0,0.0,1.0,0,3.0,0.6000000238418579
19192,15/6/2024,BYD T018 SWB,"10,492.00","10,449.00",43.0,"0,756","32,5",104,"13,98",9.959.999.999.403.950,0.0,0.0,2.0,0.4000000059604645,1.0,0
19192,14/6/2024,BYD T018 SWB,"10,449.00","10,415.00",34.0,"0,756","25,69","82,21","11,05",9.939.999.997.615.810,0.0,0.0,0.0,0,3.0,0.6000000238418579
19192,13/6/2024,BYD T018 SWB,"10,415.00","10,355.00",60.0,"0,756","45,34","145,09","19,5",9.859.999.996.423.720,0.0,0.0,3.0,0.800000011920929,3.0,0.6000000238418579
19192,12/6/2024,BYD T018 SWB,"10,355.00","10,318.00",37.0,"0,756","27,96","89,47","12,02",9.959.999.999.403.950,0.0,0.0,2.0,0.4000000059604645,1.0,0
19192,11/6/2024,BYD T018 SWB,"10,318.00","10,276.00",42.0,"0,756","31,74","101,57","13,65",9.779.999.992.251.390,0.0,0.0,2.0,0.4000000059604645,7.0,18.000.000.715.255.700
19192,10/6/2024,BYD T018 SWB,"10,276.00","10,259.00",17.0,"0,756","12,85","41,12","5,53",9.909.999.996.423.720,0.0,0.0,1.0,0,4.0,0.9000000357627869
19192,8/6/2024,BYD T018 SWB,"10,259.00","10,223.00",36.0,"0,756","27,21","87,07","11,7",9.969.999.998.807.900,0.0,0.0,1.0,0,2.0,0.30000001192092896
19192,7/6/2024,BYD T018 SWB,"10,223.00","10,189.00",34.0,"0,756","25,69","82,21","11,05",9.869.999.995.827.670,0.0,0.0,2.0,0.4000000059604645,4.0,0.9000000357627869
19192,6/6/2024,BYD T018 SWB,"10,189.00","10,137.00",52.0,"0,756","39,3","125,76","16,9",9.889.999.997.615.810,0.0,0.0,3.0,0.800000011920929,2.0,0.30000001192092896
