dia;Modelo;Placa;odometro  Final;odometro Inicial;Distancia Diaria;Consumo Promedio [kWh/km];Energia [kWh];Costo Aproximado [$MXN];kgCO2;Scoring;Nro. de Veloc.;Penalizacion Veloc.;Nro. de Acel.;Penalizacion  Acel.;Nro. de Fren.;Penalizacion Fren.
22/6/2024;JAC EJ7;80F209;158,172,00;157,944,00;228;0,175;39,98;187,91;17,19;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5/7/2024;JAC EJ7;80F209;160,348,00;160,069,00;279;0,175;48,92;229,92;21,04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2/6/2024;JAC EJ7;80F209;155,649,00;NULL;NULL;0,175;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8/6/2024;JAC EJ7;80F209;155,973,00;155,704,00;269;0,175;47,17;221,7;20,28;NULL;NULL;NULL;NULL;NULL;NULL;NULL
24/6/2024;JAC EJ7;80F209;158,436,00;158,244,00;192;0,175;33,67;158,25;14,48;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8/7/2024;JAC EJ7;80F209;160,762,00;160,751,00;11;0,175;1,93;9,07;0,83;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11/7/2024;JAC EJ7;80F209;161,183,00;160,950,00;233;0,175;40,86;192,04;17,57;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13/6/2024;JAC EJ7;80F209;156,719,00;156,563,00;156;0,175;27,35;128,55;11,76;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14/7/2024;JAC EJ7;80F209;161,755,00;161,582,00;173;0,175;30,34;142,6;13,05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19/6/2024;JAC EJ7;80F209;157,724,00;157,507,00;217;0,175;38,05;178,84;16,36;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15/6/2024;JAC EJ7;80F209;157,154,00;156,898,00;256;0,175;44,89;210,98;19,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL
12/6/2024;JAC EJ7;80F209;156,563,00;156,384,00;179;0,175;31,39;147,53;13,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21/6/2024;JAC EJ7;80F209;157,944,00;157,777,00;167;0,175;29,28;137,62;12,59;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9/6/2024;JAC EJ7;80F209;156,239,00;155,973,00;266;0,175;46,64;219,21;20,06;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11/6/2024;JAC EJ7;80F209;156,384,00;156,384,00;0;0,175;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10/6/2024;JAC EJ7;80F209;156,384,00;156,239,00;145;0,175;25,43;119,52;10,93;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28/6/2024;JAC EJ7;80F209;159,039,00;158,879,00;160;0,175;28,06;131,88;12,07;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5/6/2024;JAC EJ7;80F209;155,664,00;155,657,00;7;0,175;1,23;5,78;0,53;NULL;NULL;NULL;NULL;NULL;NULL;NULL
26/6/2024;JAC EJ7;80F209;158,719,00;158,553,00;166;0,175;29,11;136,82;12,52;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9/7/2024;JAC EJ7;80F209;160,836,00;160,762,00;74;0,175;12,98;61,01;5,58;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13/7/2024;JAC EJ7;80F209;161,582,00;161,359,00;223;0,175;39,1;183,77;16,81;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4/7/2024;JAC EJ7;80F209;160,069,00;159,897,00;172;0,175;30,16;141,75;12,97;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4/6/2024;JAC EJ7;80F209;155,657,00;155,649,00;8;0,175;1,4;6,58;0,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL
30/6/2024;JAC EJ7;80F209;159,386,00;159,214,00;172;0,175;30,16;141,75;12,97;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14/6/2024;JAC EJ7;80F209;156,898,00;156,719,00;179;0,175;31,39;147,53;13,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18/6/2024;JAC EJ7;80F209;157,507,00;157,478,00;29;0,175;5,09;23,92;2,19;NULL;NULL;NULL;NULL;NULL;NULL;NULL
12/7/2024;JAC EJ7;80F209;161,359,00;161,183,00;176;0,175;30,86;145,04;13,27;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6/7/2024;JAC EJ7;80F209;160,579,00;160,348,00;231;0,175;40,51;190,4;17,42;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29/6/2024;JAC EJ7;80F209;159,214,00;159,039,00;175;0,175;30,69;144,24;13,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7/7/2024;JAC EJ7;80F209;160,751,00;160,579,00;172;0,175;30,16;141,75;12,97;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3/7/2024;JAC EJ7;80F209;159,897,00;159,735,00;162;0,175;28,41;133,53;12,22;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23/6/2024;JAC EJ7;80F209;158,244,00;158,172,00;72;0,175;12,63;59,36;5,43;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2/7/2024;JAC EJ7;80F209;159,735,00;159,524,00;211;0,175;37;173,9;15,91;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7/6/2024;JAC EJ7;80F209;155,704,00;155,664,00;40;0,175;7,01;32,95;3,01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
27/6/2024;JAC EJ7;80F209;158,879,00;158,719,00;160;0,175;28,06;131,88;12,07;NULL;NULL;NULL;NULL;NULL;NULL;NULL
25/6/2024;JAC EJ7;80F209;158,553,00;158,436,00;117;0,175;20,52;96,44;8,82;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31/8/2024;JAC EJ7;80F209;168,752,00;168,519,00;233;0,175;40,86;192,04;17,57;8.619.999.960.064.880;0;0;16;6.000.000.089.406.960;27;7.800.000.309.944.150
30/8/2024;JAC EJ7;80F209;168,519,00;168,366,00;153;0,175;26,83;126,1;11,54;8.479.999.962.449.070;1;0;24;9.200.000.137.090.680;21;6.000.000.238.418.570
29/8/2024;JAC EJ7;80F209;168,366,00;168,171,00;195;0,175;34,19;160,69;14,7;8.489.999.955.892.560;3;0.4000000059604645;16;6.000.000.089.406.960;30;870.000.034.570.694
28/8/2024;JAC EJ7;80F209;168,171,00;168,055,00;116;0,175;20,34;95,6;8,75;8.869.999.966.025.350;0;0;12;4.400.000.065.565.100;24;6.900.000.274.181.360
27/8/2024;JAC EJ7;80F209;168,055,00;167,986,00;69;0,175;12,1;56,87;5,2;8.989.999.970.793.720;1;0;12;4.400.000.065.565.100;20;570.000.022.649.765
26/8/2024;JAC EJ7;80F209;167,986,00;167,837,00;149;0,175;26,13;122,81;11,24;8.169.999.951.124.190;1;0;25;9.600.000.143.051.140;30;870.000.034.570.694
25/8/2024;JAC EJ7;80F209;167,837,00;167,609,00;228;0,175;39,98;187,91;17,19;7.699.999.937.415.120;3;0.4000000059604645;29;11.200.000.166.893.000;39;114.000.004.529.953
24/8/2024;JAC EJ7;80F209;167,609,00;167,326,00;283;0,175;49,62;233,21;21,34;8.979.999.968.409.530;0;0;10;36.000.000.536.441.800;23;6.600.000.262.260.430
23/8/2024;JAC EJ7;80F209;167,326,00;167,166,00;160;0,175;28,06;131,88;12,07;8.389.999.957.382.670;2;0.20000000298023224;22;8.400.000.125.169.750;26;7.500.000.298.023.220
22/8/2024;JAC EJ7;80F209;167,166,00;166,967,00;199;0,175;34,89;163,98;15;8.289.999.955.892.560;1;0;25;9.600.000.143.051.140;26;7.500.000.298.023.220
21/8/2024;JAC EJ7;80F209;166,967,00;166,848,00;119;0,175;20,87;98,09;8,97;9.489.999.985.694.880;1;0;7;2.400.000.035.762.780;10;27.000.001.072.883.600
20/8/2024;JAC EJ7;80F209;166,848,00;166,744,00;104;0,175;18,24;85,73;7,84;7.659.999.942.779.540;0;0;37;14.400.000.214.576.700;31;9.000.000.357.627.860
19/8/2024;JAC EJ7;80F209;166,744,00;166,614,00;130;0,175;22,8;107,16;9,8;9.619.999.986.886.970;1;0;3;0.800000011920929;11;30.000.001.192.092.800
18/8/2024;JAC EJ7;80F209;166,614,00;166,366,00;248;0,175;43,49;204,4;18,7;9.039.999.973.773.950;1;0;13;4.800.000.071.525.570;17;4.800.000.190.734.860
17/8/2024;JAC EJ7;80F209;166,366,00;166,194,00;172;0,175;30,16;141,75;12,97;9.649.999.988.079.070;0;0;3;0.800000011920929;10;27.000.001.072.883.600
16/8/2024;JAC EJ7;80F209;166,194,00;165,925,00;269;0,175;47,17;221,7;20,28;8.309.999.953.210.350;2;0.20000000298023224;21;800.000.011.920.929;30;870.000.034.570.694
15/8/2024;JAC EJ7;80F209;165,925,00;165,768,00;157;0,175;27,53;129,39;11,84;9.049.999.976.158.140;0;0;15;5.600.000.083.446.500;14;39.000.001.549.720.700
14/8/2024;JAC EJ7;80F209;165,768,00;165,635,00;133;0,175;23,32;109,6;10,03;9.829.999.995.231.620;1;0;3;0.800000011920929;4;0.9000000357627869
13/8/2024;JAC EJ7;80F209;165,635,00;165,542,00;93;0,175;16,31;76,66;7,01;9.099.999.976.158.140;1;0;13;4.800.000.071.525.570;15;4.200.000.166.893.000
12/8/2024;JAC EJ7;80F209;165,542,00;165,436,00;106;0,175;18,59;87,37;7,99;9.219.999.980.926.510;1;0;13;4.800.000.071.525.570;11;30.000.001.192.092.800
11/8/2024;JAC EJ7;80F209;165,436,00;165,215,00;221;0,175;38,75;182,13;16,66;8.609.999.959.170.810;2;0.20000000298023224;15;5.600.000.083.446.500;28;8.100.000.321.865.080
10/8/2024;JAC EJ7;80F209;165,215,00;164,991,00;224;0,175;39,28;184,62;16,89;8.339.999.951.422.210;4;0.6000000089406967;17;6.400.000.095.367.430;33;9.600.000.381.469.720
9/8/2024;JAC EJ7;80F209;164,991,00;164,874,00;117;0,175;20,52;96,44;8,82;9.569.999.986.886.970;1;0;5;1.600.000.023.841.850;10;27.000.001.072.883.600
8/8/2024;JAC EJ7;80F209;164,874,00;164,796,00;78;0,175;13,68;64,3;5,88;9.529.999.986.290.930;0;0;6;20.000.000.298.023.200;10;27.000.001.072.883.600
7/8/2024;JAC EJ7;80F209;164,796,00;164,704,00;92;0,175;16,13;75,81;6,94;9.229.999.978.840.350;2;0.20000000298023224;10;36.000.000.536.441.800;14;39.000.001.549.720.700
6/8/2024;JAC EJ7;80F209;164,704,00;164,619,00;85;0,175;14,9;70,03;6,41;9.549.999.988.079.070;0;0;7;2.400.000.035.762.780;8;21.000.000.834.465.000
5/8/2024;JAC EJ7;80F209;164,619,00;164,552,00;67;0,175;11,75;55,23;5,05;9.679.999.989.271.160;0;0;3;0.800000011920929;9;24.000.000.953.674.300
4/8/2024;JAC EJ7;80F209;164,552,00;164,426,00;126;0,175;22,09;103,82;9,5;9.919.999.998.807.900;0;0;3;0.800000011920929;0;0
3/8/2024;JAC EJ7;80F209;164,426,00;164,329,00;97;0,175;17,01;79,95;7,31;9.969.999.998.807.900;1;0;1;0;2;0.30000001192092896
2/8/2024;JAC EJ7;80F209;164,329,00;164,190,00;139;0,175;24,37;114,54;10,48;9.549.999.988.079.070;0;0;7;2.400.000.035.762.780;8;21.000.000.834.465.000
1/8/2024;JAC EJ7;80F209;164,190,00;164,132,00;58;0,175;10,17;47,8;4,37;100;0;0;0;0;0;0
31/7/2024;JAC EJ7;80F209;164,132,00;163,996,00;136;0,175;23,85;112,1;10,26;9.189.999.981.224.530;2;0.20000000298023224;14;5.200.000.077.486.030;10;27.000.001.072.883.600
30/7/2024;JAC EJ7;80F209;163,996,00;163,845,00;151;0,175;26,48;124,46;11,39;9.879.999.996.721.740;4;0.6000000089406967;1;0;3;0.6000000238418579
29/7/2024;JAC EJ7;80F209;163,845,00;163,760,00;85;0,175;14,9;70,03;6,41;9.399.999.985.098.830;1;0;10;36.000.000.536.441.800;9;24.000.000.953.674.300
28/7/2024;JAC EJ7;80F209;163,760,00;163,664,00;96;0,175;16,83;79,1;7,24;9.819.999.992.847.440;0;0;1;0;7;18.000.000.715.255.700
27/7/2024;JAC EJ7;80F209;163,664,00;163,444,00;220;0,175;38,58;181,33;16,59;9.199.999.979.138.370;0;0;12;4.400.000.065.565.100;13;36.000.001.430.511.400
26/7/2024;JAC EJ7;80F209;163,444,00;163,252,00;192;0,175;33,67;158,25;14,48;8.309.999.951.720.230;1;0;20;7.600.000.113.248.820;32;9.300.000.369.548.790
25/7/2024;JAC EJ7;80F209;163,252,00;163,140,00;112;0,175;19,64;92,31;8,45;9.739.999.993.145.460;2;0.20000000298023224;4;12.000.000.178.813.900;5;12.000.000.476.837.100
24/7/2024;JAC EJ7;80F209;163,140,00;163,020,00;120;0,175;21,04;98,89;9,05;8.689.999.967.813.490;1;0;21;800.000.011.920.929;18;5.100.000.202.655.790
23/7/2024;JAC EJ7;80F209;163,020,00;162,927,00;93;0,175;16,31;76,66;7,01;9.409.999.987.483.020;0;0;12;4.400.000.065.565.100;6;15.000.000.596.046.400
22/7/2024;JAC EJ7;80F209;162,927,00;162,784,00;143;0,175;25,08;117,88;10,78;9.759.999.993.443.480;1;0;4;12.000.000.178.813.900;5;12.000.000.476.837.100
21/7/2024;JAC EJ7;80F209;162,784,00;162,640,00;144;0,175;25,25;118,68;10,86;100;0;0;1;0;1;0
20/7/2024;JAC EJ7;80F209;162,640,00;162,456,00;184;0,175;32,26;151,62;13,87;9.129.999.975.860.110;2;0.20000000298023224;11;4.000.000.059.604.640;16;4.500.000.178.813.930
19/7/2024;JAC EJ7;80F209;162,456,00;162,383,00;73;0,175;12,8;60,16;5,5;9.599.999.988.079.070;0;0;5;1.600.000.023.841.850;9;24.000.000.953.674.300
18/7/2024;JAC EJ7;80F209;162,383,00;162,199,00;184;0,175;32,26;151,62;13,87;9.489.999.982.714.650;5;0.800000011920929;2;0.4000000059604645;14;39.000.001.549.720.700
17/7/2024;JAC EJ7;80F209;162,199,00;162,088,00;111;0,175;19,46;91,46;8,37;9.129.999.975.860.110;2;0.20000000298023224;11;4.000.000.059.604.640;16;4.500.000.178.813.930
16/7/2024;JAC EJ7;80F209;162,088,00;161,910,00;178;0,175;31,21;146,69;13,42;9.539.999.985.694.880;1;0;5;1.600.000.023.841.850;11;30.000.001.192.092.800
15/7/2024;JAC EJ7;80F209;161,910,00;161,755,00;155;0,175;27,18;127,75;11,69;9.869.999.995.827.670;0;0;2;0.4000000059604645;4;0.9000000357627869
